date_idx,num_tweets,text
48,3,the world was gloomy before i won there was no hope . now the market is up nearly 10 and christmas spending is over a trillion dollars ! the united nations has such great potential but right now it is just a club for people to get together talk and have a good time . so sad ! president obama said that he thinks he would have won against me . he should say that but i say no way ! jobs leaving isis ocare etc .
49,3,president obama campaigned hard and personally in the very important swing states and lost . the voters wanted to make america great again ! the djt foundation unlike most foundations never paid fees rent salaries or any expenses . 100 of money goes to wonderful charities ! i gave millions of dollars to djt foundation raised or recieved millions more all of which is given to charity and media won't report !
50,5,'economists say trump delivered hope ' https : t . co sjgbggliuqnot anymore . the beginning of the end was the horrible iran deal and now this u . n . ! stay strong israel january 20th is fast approaching ! we cannot continue to let israel be treated with such total disdain and disrespect . they used to have a great friend in the u . s . but . . . . . . . doing my best to disregard the many inflammatory president o statements and roadblocks . thought it was going to be a smooth transition not ! the u . s . consumer confidence index for december surged nearly four points to 113 . 7 the highest level in more than 15 years ! thanks donald !
51,1,my administration will follow two simple rules : https : t . co zwk0j4h8qy
52,3,russians are playing cnn and nbcnews for such fools funny to watch they don't have a clue ! foxnews totally gets it ! join american32 founded by hall of fame legend jimbrownnfl32 on 1 19 2017 in washington d . c . https : t . co 9wjz8itcqvgreat move on delay by v . putin i always knew he was very smart !
53,3,rt realdonaldtrump : happy birthday donaldjtrumpjr ! https : t . co urxycd3hbzhappy birthday donaldjtrumpjr ! https : t . co urxycd3hbzhappy new year to all including to my many enemies and those who have fought me and lost so badly they just don't know what to do . love !
54,6,rt ivankatrump : 2016 has been one of the most eventful and exciting years of my life . i wish you peace joy love and laughter . happy new rt donaldjtrumpjr : happy new year everyone . newyear family vacation familytime https : t . co u9fjiknozqrt erictrump : 2016 was such an incredible year for our entire family ! my beautiful wife laraleatrump made it even better ! https : t . rt reince : happy new year god 's blessings to you all . looking forward to incredible things in 2017 ! realdonaldtrump will make america rt danscavino : on behalf of our next potus amp ; teamtrump happynewyear america https : t . co y6xddijxeahttps : t . co d8pll7xhqlhttps : to all americans happynewyear amp ; many blessings to you all ! looking forward to a wonderful amp ; prosperous 2017 as we https : t . co 1asdmal4iy
55,7,china has been taking out massive amounts of money amp ; wealth from the u . s . in totally one sided trade but won't help with north korea . nice ! north korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the u . s . it won't happen ! i thought and felt i would win big easily over the fabled 270 306 . when they cancelled fireworks they knew and so did i . various media outlets and pundits say that i thought i was going to lose the election . wrong it all came together in the last week and . . . . . cnn just released a book called unprecedented which explores the 2016 race amp ; victory . hope it does well but used worst cover photo of me ! chicago murder rate is record setting 4331 shooting victims with 762 murders in 2016 . if mayor can't do it he must ask for federal help ! well the new year begins . we will together make america great again !
56,10,i will be having a general news conference on january eleventh in n . y . c . thank you . trump is already delivering the jobs he promised america https : t . co 11sptma6tmthere should be no further releases from gitmo . these are extremely dangerous people and should not be allowed back onto the battlefield . instead of driving jobs and wealth away america will become the world 's great magnet for innovation amp ; job creation . https : t . co sixrptsort danscavino : ford to scrap mexico plant invest in michigan due to trump policieshttps : t . co 137nuo03gl . . . . . . . . may be their number one act and priority . focus on tax reform healthcare and so many other things of far greater importance ! dtswith all that congress has to work on do they really have to make the weakening of the independent ethics watchdog as unfair as itthe democrat governor . of minnesota said the affordable care act obamacare is no longer affordable ! and it is lousy healthcare . people must remember that obamacare just doesn't work and it is not affordable 116 increases arizona . bill clinton called it crazy general motors is sending mexican made model of chevy cruze to u . s . car dealers tax free across border . make in u . s . a . or pay big border tax !
57,10,jackie evancho 's album sales have skyrocketed after announcing her inauguration performance . some people just don't understand the movement massive increases of obamacare will take place this year and dems are to blame for the mess . it will fall of its own weight be careful ! like the 116 hike in arizona . also deductibles are so high that it is practically useless . don't let the schumer clowns out of this web . . . republicans must be careful in that the dems own the failed obamacare disaster with its poor coverage and massive premium increases . . . . . . things they did and said like giving the questions to the debate to h . a total double standard ! media as usual gave them a pass . somebody hacked the dnc but why did they not have hacking defense like the rnc has and why have they not responded to the terrible . . . . . . thank you to ford for scrapping a new plant in mexico and creating 700 new jobs in the u . s . this is just the beginning much more to follow foxnews : julian assange on u . s . media coverage : it s very dishonest . hannity https : t . co adcprqifh9 more dishonest than anyone knowsjulian assange said a 14 year old could have hacked podesta why was dnc so careless ? also said russians did not give him the info ! the intelligence briefing on so called russian hacking was delayed until friday perhaps more time needed to build a case . very strange !
